"castID","castName","primaryShowCode","aka","notes"
"500","Martin Saxlind","nf",,"Chief editor of nordfront.se"
"501","Oscar Bergström","nf",,
"503","Julius Blomberg","nf",,
"504","Max","nf",,"Nordic Voice podcast"
"505","Grandpa Lampshade","nf","Daniel Kenneth Jeffreys",
"506","Christian Bell","nf","Based British",
"507","Paul English","nf",,"Euro Folk Radio"
"508","Arnar Björnsson","nf","Asklepios","writes for counter currents"
"509","Niall","nf",,
"510","Thomas Rousseau","nf",,"Patriot Front"
"511","Choroin O'Ceallaigh","ch",,"Republic Standard writer"
"512","Ash Sharp","ch",,"Republic Standard editor"
"513","Black Sun Diz","ch",,
"514","Dr. Illusion","ch","twitter: douchecc","host of Illusion Radio"
"515","John King","ch","twitter: kingaling",
"516","William Triumph","ch","twitter:williamtriumph",
"517","Townes Van Plants","ch","twitter: TownesVanPlants",
"518","Fellow Hebrews","ch","twitter: fellowhebrews",
"519","Dillon Schmitt","ch",,
"520","Roger Wolff","ch",,
"521","US Uprising","ch",,
"522","Vastarien","ch",,
"523","Theo Ostro","ch",,
"524","Loretta Malakie","ch","Loretta the Prole",
"525","Evelyn Dare","ch",,
"526","Fredo","ch",,
"527","Skeptical Hippo","ch",,
"528","Chas Caledon","ch",,"artist and illustrator"
"529","Forgotten Nationalist","ch","twitter:truthbeauty_2",
"530","Jessica Isabel Robeson","ch","twitter:jessRobeson",
"531","Pikachu","ch",,
"532","Jeanne LaDarc","ch",,
"533","Jaenelle Antas","tpc","PhilosophiCat","secretary for David Irving holocaust denier; https://www.phoenixnewtimes.com/news/david-irving-the-cowardly-holocaust-denier-and-his-gal-friday-jaenelle-antas-6498994; https://angrywhitemen.org/2020/08/17/this-white-power-folk-singer-was-once-the-personal-assistant-to-holocaust-denier-david-irving/"
"534","Maestro","ch",,
"535","Mia Vendetta","ch",,
"536","Zero Schizo","ch",,
"537","Racial Consciousness","ch",,
"538","Eugene Panferov","ch",,
"539","A Very Nice Man","ch",,
"540","Ruffian","ch",,
"541","Billy Rando","ch",,
"542","Tim Kelly","ch",,
"543","Tom Bowie","wrr","twitter: tomcloned",
"544","Truck Roy","wrr",,"Stormfront Radio"
"545","Set","wrr",,"it's ok to be white meme"
"546","Poseidon","wrr","twitter: EuroNationalism; dlive: realposeidon; youtube: poseidonlive",
"547","Semiogogue","wrr",,
"548","James Edwards","tpc",,"Host of The Political Cesspool"
"549","Austin Farley","tpc",,
"550","Adam Rott","tpc",,"Young patriot series 2006; Oklahoma Corridor Watch, 2007"
"551","Adrian Davies","tpc",,"barrister from London"
"552","Alan Stang","tpc",,"author, RBN host"
"553","Alex Carmichael","tpc",,"League of American Patriots"
"554","Alveda King","tpc",,"niece of MLK, republican"
"555","Andrew Clarksenior","tpc",,"Black leader in Memphis"
"556","Andrew Coulson","tpc",,"Cato Institute director"
"557","Andrew Fraser","tpc",,"Professor Emeritus Macquarie University"
"558","Andrew McBride","tpc",,"co-founder of Britain First"
"559","Andy Nowicki","tpc",,"writer for Last Ditch"
"560","Angela ""Bay"" Buchanan","tpc",,"Bay is the former Treasurer of the United States and now heads up Team America PAC. Many also recognize Ms. Buchanan as the sister of former Presidential Candidate Pat Buchanan."
"561","Angelo Cobrasci","tpc",,"founder of Defenders of Freedom"
"562","Anthony Cumia","tpc",,"radio host"
"563","April Gaede","tpc",,"singer"
"564","Art Frith","tpc",,"producer of tpc"
"565","Ashley Russell","tpc",,"TPC ""correspondent"", south carolina college student"
"566","Barbara Cooper","tpc",,"TN state representative"
"567","Barrie Schwortz","tpc",,"shroud of turin expert"
"568","Bill Balsamico","tpc",,"restaurant owner"
"569","Bill Cowell","tpc",,"vietnam vet, author of song ""9/11 was an inside job"""
"570","Bill Jasper","tpc",,
"571","Bill Johnson","tpc",,"American Third Position chairman"
"572","Bill Rolen","tpc",,"Council of Conservative Citizens"
"573","Bill Sardi","tpc",,"health journalist"
"574","Bill Wood","tpc",,
"575","Billy the Heretic","tpc",,"cartoonist"
"576","BJ Ellis","tpc",,"radio host"
"577","Bo Gritz","tpc",,"ruby ridge ; https://www.splcenter.org/fighting-hate/extremist-files/individual/bo-gritz"
"578","Bob Copley","tpc",,
"579","Bob Griswold","tpc",,"owner of Ready Made Resources"
"580","Bob Murphy","tpc",,"economist, author of Politically Correct Guide to Capitalism"
"581","Bob Whitaker","tpc",,"https://www.splcenter.org/fighting-hate/intelligence-report/2013/following-white-rabbit"
"582","Bobby Lee","tpc",,"host of Conspiracy Facts, Tampa FL"
"583","Bonnie Eggle","tpc",,
"584","Brandy Stokes","tpc",,"former teacher"
"585","Bret McAtee","tpc",,"Reverend"
"586","Brian Pace","tpc",,"local leader of CofCC"
"587","Brian Patrick Mitchell","tpc",,"former political reporter"
"588","Brian Wilson","tpc",,"from Toledo (?)"
"589","Candy Rabbitt","tpc",,"Southern singer"
"590","Carl ""Twofeathers"" Whitaker","tpc",,"Gubernatorial candidate TN"
"591","Carl Giammarese","tpc",,"lead singer of The Buckinghams"
"592","Carlton Huffman","tpc",,"The American Cause, Team America PAC"
"593","Catherine Chestnutt","tpc",,"musician"
"594","CC Conrad","tpc",,"author"
"595","Charles Goyette","tpc",,"radio talk show host"
"596","Charles Key","tpc",,"state rep R-OK"
"597","Charlotte Iserbyt","tpc",,"Reagan administration"
"598","Chris Burcky","tpc",,"politically incorrect bookstore in Memphis"
"599","Chris Holley","tpc",,"coordinator of the Memphis Ron Paul meetup group"
"600","Chris Simcox","tpc",,"Co-Founder of Minutemen Project"
"601","Chris Sullivan","tpc",,"VC of Hunley Commission"
"602","Chuck Baldwin","tpc",,"baptist pastor"
"603","Clint Johnson","tpc",,"author of Politically Incorrect Guide to the South"
"605","Colin Flaherty","tpc",,"author of White Girl Bleed a Lot"
"606","Collin Houseal","tpc",,"League of the South leader"
"607","Constance Cumby","tpc",,"activist christian author"
"608","Cory Burnell","tpc",,"President of Christian Exodus"
"609","Courtney from Alabama","tpc",,"caller"
"610","Craig Bodeker","tpc",,"filmmaker"
"611","Craig Langley","tpc",,"poet"
"612","Curry Todd","tpc",,"TN state rep"
"613","Cynthia Zerga","tpc",,
"614","Dan Sheehy","tpc",,"anti-immigration activist"
"615","Darlene Fitzgerald","tpc",,"anti-immigrant author"
"616","David Bush","tpc",,"director of the Johnson Island Confederate Prison, OH"
"617","David Duncan","tpc",,"Civil War Preservation Trust"
"618","David Heppler","tpc",,"Arizona Border Watch"
"619","David Hill","tpc",,"field coord for CofCC"
"620","David McCrory","tpc",,
"621","David Ray Griffin","tpc",,"retired professor of philosophy of religion"
"622","David Rogers","tpc",,"Pastor of Lighthouse Baptist Church"
"623","David Saied","tpc",,"former head of public policy for Panama govt"
"624","David Whitney","tpc",,"Institute on the Constitution"
"625","David Yeagley","tpc",,"aka ""bad eagle"" commentator, ancestor of native american ""bad eagle"""
"626","Dennis Cuddy","tpc",,"historian and political analyst"
"627","Dennis Spruell","tpc",,"Sheriff Montezuma County CO"
"628","Derek Black","tpc",,"son of Don Black"
"629","Don Black","tpc",,"Stormfront.org proprietor"
"630","Don Rich","tpc",,"professor"
"631","Don Wassall","tpc",,"Editor of Nationalist Times"
"632","Donald Harrison","tpc",,"docent at Elmwood Cemetery"
"633","Doug Bandow","tpc",,"VP of policy for Citizen Outreach"
"634","Doug French","tpc",,"vp of a nevada bank and editor of Liberty Watch magazine"
"635","Doug Mackenzie","tpc",,"econ professor"
"636","Drue Lackey","tpc",,"former police chief in Montgomery, AL"
"637","Earl Holt","tpc",,"President of CofCC"
"638","EC Jones","tpc",,"Memphis City Council"
"639","Ed Steele","tpc",,"attorney and spokesman for duo ""Prussian Blue"""
"640","Eddie Miller","tpc",,"local activist, aka ""The Bombardier"""
"641","Edmund Connelly","tpc",,"columnist for Occidental Quarterly"
"642","Edward Stringham","tpc",,"econ professor"
"643","Edwin Taylor","tpc",,"energy and physics ""expert"""
"644","Edwin Vieira","tpc",,"author"
"645","Ernie Chambers","tpc",,"NB state senator"
"646","Ernest Hancock","tpc",,"frequent libertarian candidate for office; producer for Charles Goyette show"
"647","Eric Margolis","tpc",,"journalist"
"648","Eustace Mullins","tpc",,
"649","Ezola Foster","tpc",,"Pat Buchanan's running mate"
"650","Filip Dewinter","tpc",,"member of Belgian parliament"
"651","Frank Borzellieri","tpc",,"professor at St. John's University, AmRen contributor"
"652","Frank Roman","tpc",,"founder of European Americans United"
"653","Franklin Sanders","tpc",,"Chairman of TN League of the South"
"654","Frosty Wooldridge","tpc",,"author"
"655","Gary Brummett","tpc",,"survivor of attack on USS Liberty"
"656","Gary Puckett","tpc",,"musician"
"657","Gary Sinise","tpc",,"actor"
"658","Gaurav Ahuja","tpc",,
"659","Gene Andews","tpc",,"high school history teacher, former commander of SCV"
"660","Gene Dressel","tpc",,"division commander for MO SCV"
"661","Geoff Melton","tpc",,"""webmaster"" for tpc"
"663","George Wallace Jr","tpc",,"son of politician"
"664","Glenn McConnell","tpc",,"SC senator R-41"
"665","Gordon Baum","tpc",,"CEO of the Council of Conservative Citizens"
"666","Gottfried Dulias","tpc",,"german air force pilot in ww2"
"667","Greg Johnson","tpc",,"Editor of Occidental Quarterly"
"668","Gregg Farrier","tpc",,
"669","Hal Moore","tpc",,"Retired Lt. General"
"670","Hal Netkin","tpc",,"former campaign manager for a mayoral candidate in Los Angeles"
"671","Harry Cooper","tpc",,"exec dir Sharkhunters Intl"
"672","Harry Dace","tpc",,
"673","Henry Makow","tpc",,"Save the Males web site"
"674","HK Edgerton","tpc",,"Black confederate"
"675","Hutton Gibson","tpc",,"Mel Gibson's dad"
"676","Ilana Mercer","tpc",,"WorldNetDaily columnist and author"
"677","Isabel Lyman","tpc",,"author of Homeschooling Revolution"
"678","Jack McLamb","tpc",,"police officer"
"679","Jack Ryan","tpc",,"TPC contributor"
"680","Jacob Kachelhofer","tpc",,"advertising rep for American Free Press"
"681","Jaenal Antas","tpc",,
"682","James Braddy","tpc",,"discusses energy related concerns"
"683","James D. Jones","tpc",,"America First Party of TN"
"684","James Hart","tpc",,"TN district 8 candidate"
"685","James Lancia","tpc",,"former leo, author of Downtown White Police"
"686","James Manning","tpc",,"youtuber"
"687","James Ostrowski","tpc",,"attorney and columnist for LewRockwell.com"
"688","James Russell","tpc",,"author"
"689","Jamie Kelso","tpc",,"Nick Griffin trial"
"690","Janiece Hamblen","tpc",,"wife of Rich Hamblen"
"691","Jason Bartlett","tpc",,"walking across america to raise awareness of farmers in South Africa"
"692","Jay Lakin","tpc",,"business owner"
"693","Jerome Corsi","tpc",,"politics author"
"694","Jess Bonds","tpc",,
"695","Jim Feijo","tpc",,"radio host"
"696","Jim Gilchrist","tpc",,"co-founder of minuteman project"
"697","Jim Jamieson","tpc",,"former candidate for TN state rep"
"698","Jim Rothstein","tpc",,"retired NYC detective"
"699","Jimmy X","tpc",,"host of Radio X in Buffalo NY"
"700","Joan Veon","tpc",,"world net daily columnist"
"701","Joe McCutchen","tpc",,"Protect Arkansas NOW"
"702","Joe Sobran","tpc",,"former national review editor"
"703","Joe Terry","tpc",,"Do oWop group ""Danny and the Juniors"""
"704","Joel LeFevre","tpc",,"editor of Citizens Informer (CofCC)"
"705","John Allen","tpc",,"author of Global War on Christians"
"706","John Cobin","tpc",,"Policy of Liberty"
"707","John DeCamp","tpc",,"former NE legislator"
"708","John Derbyshire","tpc",,
"709","John Farmer","tpc",,"TN 8th district candidate, founder of bluecollarrepublican.com"
"710","John Francis","tpc",,"political organizer"
"711","John Gardner","tpc",,"investment advisor"
"712","John Harvey","tpc",,"candidate for Shelby county sheriff"
"713","John Lott","tpc",,"professor at suny binghamton, econ"
"714","John Remington Graham","tpc",,"author"
"715","John Raterink","tpc",,"MI chapter of CofCC"
"716","John Tait","tpc",,
"717","John Ubele","tpc",,"chairman of Sons of Liberty Committee"
"718","John Weaver","tpc",,"pastor of Dominion Ministry"
"719","John Wesley","tpc",,"host of Identity Rising podcast"
"720","John Willingham","tpc",,
"721","Jonas De Geer","tpc",,"Swedish radio personality"
"722","Jonas Nilsson","tpc",,"Swedish filmmaker"
"723","Joseph Scheidler","tpc",,"natl director for Pro-Life Action League"
"724","Joseph Turner","tpc",,
"725","Juan Fernando Carpio","tpc",,"austrian economist"
"726","June Griffin","tpc",,"Culture War Veterans Association, candidate in TN"
"727","Justin Cottrell","tpc",,"author"
"728","Karen Kwiatkowski","tpc",,"USAF retired"
"729","Karin Smith","tpc",,"host of radio free south africa"
"730","Kathy Shaidle","tpc",,"author of The Tyranny of Nice"
"731","Kayla","tpc",,"aka Big Cat Kayla; A Comfy Tangent show"
"732","Keith Alexander","tpc",,"attorney"
"733","Ken Platt","tpc",,"Clean Fuels Technology"
"734","Kenn Gividen","tpc",,"former candidate and book author, American Freedom Party"
"735","Kevin Gutzman","tpc",,"The Politically Incorrect guide to the constitution author"
"736","Kim","tpc",,"""homeschooling/homechurching mother-of-five"""
"737","Kirk Lyons","tpc",,"founder of Southern Legal Resource Center"
"738","Kirkpatrick Sale","tpc",,"Middlebury Institute"
"739","Kris Blankenship","tpc",,"sleepbetternextweek.com"
"740","KrisAnne Hall","tpc",,"author, talk show host and Christian Constitutionalist"
"741","Kyle Bisutti","tpc",,"Victoria's Secret model and book author"
"742","Kyle Bristow","tpc",,"white supremacist lawyer"
"743","Kyle Rogers","tpc",,"Council of Conservative Citizens"
"744","Lacey Lynn","tpc",,"tradwife youtuber"
"745","Larry Darby","tpc",,"candidate for AG from AL"
"746","Larry Pratt","tpc",,"exec director of Gun Owners of America"
"748","Lee Millar","tpc",,"camp commander for SCV"
"749","Linda Muller","tpc",,"forthecause.us ; anti-immigrant activist"
"750","Lurleen Wallace","tpc",,"author of book about George Wallace"
"751","Marcus Epstein","tpc",,"writer for Vdare, etc"
"752","Marguerite Jones","tpc",,"Exec director for Fully Informed Jury Association"
"753","Marc Krieger","tpc",,"financial advisor and author"
"754","Marc Stevens","tpc",,"radio host, author"
"755","Mark Burns","tpc",,
"756","Mark Edwards","tpc",,"talk radio host"
"757","Mark Glenn","tpc",,"RBN radio host"
"758","Mark Thornton","tpc",,"economist"
"759","Mark Weber","tpc",,"holocaust denier"
"760","Marshall Rawson","tpc",,"high schooler involved with League of the South"
"761","Mary Ann Peckham","tpc",,"TN Civil War Preservation Trust"
"762","Matt Furse","tpc",,"pastor and author of Who is Israel book"
"763","Matthew Drake","tpc",,"youtuber"
"764","Merlin Miller","tpc",,"filmmaker"
"765","Michael Andrew Grissom","tpc",,"author of confederate books"
"766","Michael Bray","tpc",,"anti-choice activist"
"767","Michael Collins Piper","tpc",,"reporter for America Free Press"
"768","Michael Corbin","tpc",,"talk show host"
"769","Michael Gaddy","tpc",,"Minutemen Project in Arizona"
"770","Michael Hirt","tpc",,"layman exorcist"
"771","Michael Peroutka","tpc",,"Constitution Party candidate"
"772","Mickey White","tpc",,"political candidate in TN"
"773","Mike Armstrong","tpc",,"John Birch Society"
"774","Mitchell Morrison","tpc",,"leader of the John Birch Society about the Free Trade Area of the Americas (FTAA)"
"775","Nathan Muller","tpc",,"founder of forthecause."
"776","Nathanael Kapner","tpc",,"activist, russian orthodox"
"778","Nicholas Stix","tpc",,"Men's News Daily"
"779","Nick Griffin","tpc",,"chairman of the british national party and member of european parliament"
"780","Olaf Childress","tpc",,"editor of First Freedom"
"781","Pat McGarrity","tpc",,"Bill Clinton impersonator"
"782","Pat Shannan","tpc",,"American Free Press newspaper"
"783","Patricia Aiken","tpc",,"Cardioprim huckster"
"784","Patrick J. Buchanan","tpc",,"politician"
"785","Paul Babau","tpc",,"Sheriff of Pinal County AZ"
"786","Paul Craig Roberts","tpc",,"author and far-right columnist"
"787","Paul Fromm","tpc",,"canadian politician"
"788","Paul Gottfried","tpc",,"Elizabethtown College professor, far-right columnist"
"789","Perry Short","tpc",,"author of Generation of Warriors"
"790","Peter Gemma","tpc",,"far right columnist"
"791","Peter Hallock","tpc",,"Liberty Dollar regional currency office"
"792","Peter J. Peters","tpc",,"pastor"
"793","Peter Stanton","tpc",,"international correspondent for tpc"
"794","Phil Tourney","tpc",,"survivor of attack on USS Liberty"
"795","Phillip Haddad","tpc",,
"796","Poker Face","tpc",,"band"
"797","Preston Wiginton","tpc",,"activist"
"798","Randy Gray","tpc",,"activist"
"799","Ray Griffin","tpc",,"retired professor of philosophy"
"800","Ray Herrera","tpc",,"Minutemen project"
"801","Ray McBerry","tpc",,"President of Dixie Broadcasting"
"802","Reed Heustis","tpc",,"Christian Constitutionalist"
"803","Regan O'Carroll","tpc",,"author"
"804","Ricardo Duchesne","tpc",,"professor of sociology at UNB"
"805","Rich Hamblen","tpc",,"League of the South"
"806","Richard Barrett","tpc",,"attorney for James Hart"
"807","Richard Flowers","tpc",,"curator of Beauvoir, the Jefferson Davis home"
"808","Richard Lynn","tpc",,"race scientist"
"809","Richard Mack","tpc",,"sheriff of Graham County AZ"
"810","Rick Revel","tpc",,"musican"
"811","Roan Garcia-Quintana","tpc",,"executive director of Americans Have Had Enough anti-immigrant"
"812","Robert Barkdoll","tpc",,"chairman of missouri league of the south"
"813","Robert Mazur","tpc",,"former FBI agent, book author"
"814","Rocky D","tpc",,"talk radio host in Charleston"
"815","Roger Simmermaker","tpc",,
"816","Ron Kukal","tpc",,"survivor of attack on USS Liberty"
"817","Ron Lanfear","tpc",,"TN state coordinator for John Birch Society"
"818","Russell James","tpc",,"social theorist"
"819","Ryan Murdough","tpc",,"candidate in NH"
"820","Sam Bushman","tpc",,"host of Liberty Roundtable"
"821","Sam Dickson","tpc",,"klan lawyer"
"822","Scott Goldsmith","tpc",,"owner of Dixie Republic"
"823","Scott Harris","tpc",,"director of New Market battlefield"
"824","Sean Bergin","tpc",,"former news reporter"
"825","Shannon McGauley","tpc",,"Texas Minutemen"
"826","Shawn McTammany","tpc",,"Mississippi Militia"
"827","Sid Secular","tpc",,"DC leader of CofCC"
"828","Simon Darby","tpc",,"British national party"
"829","Sonny Landham","tpc",,"actor"
"830","Sonny Thomas","tpc",,"Resolution Radio"
"831","Southern Avenger","tpc",,"talk radio show host"
"832","Stan Hess","tpc",,"activist"
"833","Stanley K. Lott","tpc",,"author"
"834","Stanley Monteith","tpc",,"anti-gay activist"
"835","Stephen Baskerville","tpc",,"President of the American Coalition of Fathers and Children"
"836","Stephen Sniegoski","tpc",,"far-right author"
"837","Steve Farron","tpc",,"former professor of classics"
"838","Steve McIntyre","tpc",,"southern heritage activist"
"839","Steve Sailer","tpc",,"vdare columnist"
"840","Tarry Beasley","tpc",,"Commander of the Army of Tennessee; Sons of the Confederate Veterans"
"841","Ted Pike","tpc",,"reverend"
"842","Ted Twietmeyer","tpc",,"engineer"
"843","Terry Anderson","tpc",,
"844","Terry Anderson","tpc",,"talk show host"
"845","Terry Lyons","tpc",,
"846","Terry Roland","tpc",,"candidate for TN state senate"
"847","Texe Marrs","tpc",,"author of Dark Secrets of the New Age"
"848","Thomas DiLorenzo","tpc",,"author"
"849","Thomas Naylor","tpc",,"Professor emeritus of economics at Duke"
"850","Thomas Ray Floyd","tpc",,"reverend"
"851","Thomas Szasz","tpc",,"Professor emeritus of psychology, cato institute"
"852","Tim Adams","tpc",,"former politician in Hawaii"
"853","Tom Baugh","tpc",,"book author, anti-socialist"
"854","Tom Dover","tpc",,"President of CofCC"
"855","Tom Sell","tpc",,"former dentist, dateline interview"
"856","Tommy Devito","tpc",,"musician"
"857","Tommy Lee","tpc",,"Brice's Crossroads Museum"
"858","Traven Tucker","tpc",,"musician"
"859","Tricia Feijo","tpc",,"radio host"
"860","Virginia Abernethy","tpc",,"professor emerita Vanderbilt"
"861","Waite Rawls","tpc",,"Museum of the confederacy"
"862","Walter Block","tpc",,"econ professor"
"863","Walter Jones","tpc",,"R-NC"
"864","Walter Reedy","tpc",,"founder of The Committees of Safety"
"865","Walter Yurkiw","tpc",,"fmr officer in NYPD, now stars in The Seven Five documentary"
"866","Wayne Allyn Root","tpc",,"political commentator with Fox News"
"867","Wayne Lutton","tpc",,"Social Contract Press"
"868","Wilburn Sprayberry","tpc",,"writer"
"869","William Flax","tpc",,"attorney, activist, author"
"870","William Gheen","tpc",,"President of the Americans for Legal Immigration PAC"
"871","William Lind","tpc",,"military affairs pundit"
"872","William Rome","tpc",,"author and poet"
"873","Winston Smith","tpc",,"TPC co-host"
"874","Yuri Maltzev","tpc",,"econ professor"
"875","John Rawl","tpc",,
"876","Bob Farrell","tpc",,"Chairman of the Indiana Council of Conservative Citizens"
"877","Tim Cook","tpc",,"political candidate TN"
"878","Bill Patterson","tpc",,"local campaign strategist TN"
"879","John Kennedy","tpc",,"chapter leader of a New England chapter of the Council of Conservative Citizens"
"881","Anthony Gregory","tpc",,"LewRockwell.com columnist"
"882","Mark Green","tpc",,"book author"
"883","Mark Crovelli","tpc",,"columnist"
"884","Ted Nugent","tpc",,
"885","Alex Kurtagic","tpc",,"novelist"
"886","Michael Kashouty","tpc",,
"887","Ray Stevens","tpc",,"musician"
"888","Sydney Leathers","tpc",,"Anthony Weiner sexting scandal"
"889","Evan McLaren","tpc",,"National Policy Institute"
"890","The Copperhead","tpc",,
"891","Angelo John Gage","tpc",,"anti war demonstrator, former marine"
"892","David Jones","tpc",,"president of southern national congress"
"893","Zeljko Glasnovic","tpc",,"croatian parliament"
"894","Dr. Murdoch","tds",,"Murdoch Murdoch"
